                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                 1.5441,                0.73476,                 1.1034,                0.93211,                0.90691,                0.94601,                0.55749,                 1.4003,                0.62497,                 1.0568,              0.0096172,              0.0096172,              0.0096172
                    118,                  1.531,                0.73502,                 1.0914,                0.93349,                0.90886,                0.95078,                 0.5654,                 1.3969,                0.62079,                 1.0449,              0.0096139,              0.0096139,              0.0096139
                    119,                 1.5225,                0.72797,                 1.0855,                0.93543,                 0.9097,                0.95118,                0.56962,                 1.3848,                0.60726,                 1.0479,              0.0096106,              0.0096106,              0.0096106
                    120,                 1.5425,                0.74395,                 1.0931,                0.93568,                  0.911,                0.94826,                0.56401,                 1.3822,                 0.6163,                 1.0475,              0.0096073,              0.0096073,              0.0096073
                    121,                 1.5081,                0.72702,                 1.0881,                0.93522,                0.91216,                0.95252,                0.56957,                 1.3785,                0.60993,                 1.0448,               0.009604,               0.009604,               0.009604
                    122,                  1.525,                0.73196,                 1.0881,                 0.9322,                0.90802,                0.95159,                0.57287,                 1.3677,                0.61858,                 1.0406,              0.0096007,              0.0096007,              0.0096007
                    123,                 1.5241,                0.72985,                 1.0841,                0.92803,                0.90476,                0.94712,                 0.5708,                  1.385,                0.61486,                 1.0424,              0.0095974,              0.0095974,              0.0095974
                    124,                 1.5463,                0.73889,                 1.1033,                 0.9336,                0.91588,                0.95575,                0.57385,                 1.3778,                0.61255,                 1.0483,              0.0095941,              0.0095941,              0.0095941
                    125,                 1.5075,                0.72591,                 1.0827,                0.93082,                0.91082,                0.95347,                0.57178,                 1.3714,                0.61262,                 1.0391,              0.0095908,              0.0095908,              0.0095908
                    126,                  1.498,                0.71784,                 1.0832,                0.93647,                0.90774,                0.95211,                0.57337,                 1.3726,                0.60688,                 1.0456,              0.0095875,              0.0095875,              0.0095875
                    127,                 1.5269,                0.72984,                 1.0953,                0.93443,                0.91628,                0.95628,                 0.5752,                  1.364,                0.61039,                 1.0396,              0.0095842,              0.0095842,              0.0095842
                    128,                 1.5129,                0.72668,                 1.0815,                0.94173,                0.91054,                 0.9555,                0.58004,                 1.3676,                 0.6056,                 1.0385,              0.0095809,              0.0095809,              0.0095809
                    129,                 1.5043,                0.71643,                 1.0874,                0.93702,                0.90467,                0.95086,                0.57282,                 1.3698,                0.60531,                 1.0377,              0.0095776,              0.0095776,              0.0095776
                    130,                 1.5216,                0.72485,                 1.0852,                0.93801,                0.91194,                0.95207,                0.57615,                 1.3628,                0.60385,                 1.0349,              0.0095743,              0.0095743,              0.0095743
                    131,                 1.5091,                0.71829,                 1.0832,                 0.9339,                0.90845,                0.95247,                0.57319,                  1.365,                0.61584,                 1.0386,               0.009571,               0.009571,               0.009571
                    132,                 1.4886,                0.70738,                 1.0698,                0.93333,                0.90495,                0.95317,                0.57581,                 1.3684,                0.61241,                 1.0366,              0.0095677,              0.0095677,              0.0095677
                    133,                 1.4997,                0.72101,                 1.0791,                0.93032,                0.91075,                0.95234,                0.57537,                 1.3535,                0.60396,                 1.0295,              0.0095644,              0.0095644,              0.0095644
